2022-05-18 23:05:37 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:900 INFO  PurchasePage :29 - Enter user name Satandard_useruser name field [[ChromeDriver: chrome on WINDOWS (b6d94649a08103f148856195188eab63)] -> xpath: //input[@id='user-name']]
2022-05-18 23:05:975 INFO  PurchasePage :33 - Enter password secret_saucepassword field [[ChromeDriver: chrome on WINDOWS (b6d94649a08103f148856195188eab63)] -> xpath: //input[@id='password']]
2022-05-18 23:05:135 INFO  PurchasePage :37 - Click on login button [[ChromeDriver: chrome on WINDOWS (b6d94649a08103f148856195188eab63)] -> xpath: //input[@id='login-button']]
2022-05-18 23:05:101 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:923 INFO  PurchasePage :29 - Enter user name Satandard_useruser name field [[ChromeDriver: chrome on WINDOWS (0f62822a7c1b0231b41a01428d0ec33e)] -> xpath: //input[@id='user-name']]
2022-05-18 23:05:00 INFO  PurchasePage :33 - Enter password secret_saucepassword field [[ChromeDriver: chrome on WINDOWS (0f62822a7c1b0231b41a01428d0ec33e)] -> xpath: //input[@id='password']]
2022-05-18 23:05:171 INFO  PurchasePage :37 - Click on login button [[ChromeDriver: chrome on WINDOWS (0f62822a7c1b0231b41a01428d0ec33e)] -> xpath: //input[@id='login-button']]
2022-05-18 23:05:692 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-18 23:05:556 INFO  PurchasePage :29 - Enter user name standard_useruser name field [[ChromeDriver: chrome on WINDOWS (ca90ae6e3acbfb6d9043510c34d3dec6)] -> xpath: //input[@id='user-name']]
2022-05-18 23:05:632 INFO  PurchasePage :33 - Enter password secret_saucepassword field [[ChromeDriver: chrome on WINDOWS (ca90ae6e3acbfb6d9043510c34d3dec6)] -> xpath: //input[@id='password']]
2022-05-18 23:05:857 INFO  PurchasePage :37 - Click on login button [[ChromeDriver: chrome on WINDOWS (ca90ae6e3acbfb6d9043510c34d3dec6)] -> xpath: //input[@id='login-button']]
2022-05-19 00:05:365 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 00:05:180 INFO  PurchasePage :38 - Enter user name standard_useruser name field [[ChromeDriver: chrome on WINDOWS (a20438477f4b6c047ef954750a55e4a6)] -> xpath: //input[@id='user-name']]
2022-05-19 00:05:259 INFO  PurchasePage :42 - Enter password secret_saucepassword field [[ChromeDriver: chrome on WINDOWS (a20438477f4b6c047ef954750a55e4a6)] -> xpath: //input[@id='password']]
2022-05-19 00:05:360 INFO  PurchasePage :46 - Click on login button [[ChromeDriver: chrome on WINDOWS (a20438477f4b6c047ef954750a55e4a6)] -> xpath: //input[@id='login-button']]
2022-05-19 00:05:721 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 00:05:546 INFO  PurchasePage :38 - Enter user name standard_useruser name field [[ChromeDriver: chrome on WINDOWS (0b4811fa9585b2a84e212b8368628cf9)] -> xpath: //input[@id='user-name']]
2022-05-19 00:05:633 INFO  PurchasePage :42 - Enter password secret_saucepassword field [[ChromeDriver: chrome on WINDOWS (0b4811fa9585b2a84e212b8368628cf9)] -> xpath: //input[@id='password']]
2022-05-19 00:05:804 INFO  PurchasePage :46 - Click on login button [[ChromeDriver: chrome on WINDOWS (0b4811fa9585b2a84e212b8368628cf9)] -> xpath: //input[@id='login-button']]
2022-05-19 16:05:485 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 16:05:517 INFO  PurchasePage :38 - Enter user name standard_useruser name field [[ChromeDriver: chrome on WINDOWS (981a2c8c8ba6f5d164cf0bf1996ccfc6)] -> xpath: //input[@id='user-name']]
2022-05-19 16:05:605 INFO  PurchasePage :42 - Enter password secret_saucepassword field [[ChromeDriver: chrome on WINDOWS (981a2c8c8ba6f5d164cf0bf1996ccfc6)] -> xpath: //input[@id='password']]
2022-05-19 16:05:716 INFO  PurchasePage :46 - Click on login button [[ChromeDriver: chrome on WINDOWS (981a2c8c8ba6f5d164cf0bf1996ccfc6)] -> xpath: //input[@id='login-button']]
2022-05-19 16:05:944 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 16:05:697 INFO  PurchasePage :38 - Enter user name standard_useruser name field [[ChromeDriver: chrome on WINDOWS (ca87adbaff5e0fd7d7e76cc89deb9738)] -> xpath: //input[@id='user-name']]
2022-05-19 16:05:775 INFO  PurchasePage :42 - Enter password secret_saucepassword field [[ChromeDriver: chrome on WINDOWS (ca87adbaff5e0fd7d7e76cc89deb9738)] -> xpath: //input[@id='password']]
2022-05-19 16:05:925 INFO  PurchasePage :46 - Click on login button [[ChromeDriver: chrome on WINDOWS (ca87adbaff5e0fd7d7e76cc89deb9738)] -> xpath: //input[@id='login-button']]
2022-05-19 16:05:970 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 16:05:961 INFO  PurchasePage :38 - Enter user name standard_useruser name field [[ChromeDriver: chrome on WINDOWS (73364c4576541a65c13394539c42605c)] -> xpath: //input[@id='user-name']]
2022-05-19 16:05:55 INFO  PurchasePage :42 - Enter password secret_saucepassword field [[ChromeDriver: chrome on WINDOWS (73364c4576541a65c13394539c42605c)] -> xpath: //input[@id='password']]
2022-05-19 16:05:231 INFO  PurchasePage :46 - Click on login button [[ChromeDriver: chrome on WINDOWS (73364c4576541a65c13394539c42605c)] -> xpath: //input[@id='login-button']]
2022-05-19 16:05:254 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 16:05:832 INFO  PurchasePage :38 - Enter user name standard_useruser name field [[ChromeDriver: chrome on WINDOWS (02c1e3f2090184f6d432abd6db4db8fa)] -> xpath: //input[@id='user-name']]
2022-05-19 16:05:915 INFO  PurchasePage :42 - Enter password secret_saucepassword field [[ChromeDriver: chrome on WINDOWS (02c1e3f2090184f6d432abd6db4db8fa)] -> xpath: //input[@id='password']]
2022-05-19 16:05:28 INFO  PurchasePage :46 - Click on login button [[ChromeDriver: chrome on WINDOWS (02c1e3f2090184f6d432abd6db4db8fa)] -> xpath: //input[@id='login-button']]
2022-05-19 17:05:297 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 17:05:954 INFO  PurchasePage :42 - Enter user name standard_useruser name field [[ChromeDriver: chrome on WINDOWS (2ff1ca97d7de6f9d4528fffdfa5a85b1)] -> xpath: //input[@id='user-name']]
2022-05-19 17:05:41 INFO  PurchasePage :46 - Enter password secret_saucepassword field [[ChromeDriver: chrome on WINDOWS (2ff1ca97d7de6f9d4528fffdfa5a85b1)] -> xpath: //input[@id='password']]
2022-05-19 17:05:185 INFO  PurchasePage :50 - Click on login button [[ChromeDriver: chrome on WINDOWS (2ff1ca97d7de6f9d4528fffdfa5a85b1)] -> xpath: //input[@id='login-button']]
2022-05-19 17:05:322 INFO  PurchasePage :54 - Click on Price tab [[ChromeDriver: chrome on WINDOWS (2ff1ca97d7de6f9d4528fffdfa5a85b1)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 17:05:423 INFO  PurchasePage :58 - Select filterby Price (high to low)Filter Field [[ChromeDriver: chrome on WINDOWS (2ff1ca97d7de6f9d4528fffdfa5a85b1)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 17:05:895 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 17:05:758 INFO  PurchasePage :42 - Enter user name standard_useruser name field [[ChromeDriver: chrome on WINDOWS (acb537962ab1b838fb252a11d670ba77)] -> xpath: //input[@id='user-name']]
2022-05-19 17:05:842 INFO  PurchasePage :46 - Enter password secret_saucepassword field [[ChromeDriver: chrome on WINDOWS (acb537962ab1b838fb252a11d670ba77)] -> xpath: //input[@id='password']]
2022-05-19 17:05:966 INFO  PurchasePage :50 - Click on login button [[ChromeDriver: chrome on WINDOWS (acb537962ab1b838fb252a11d670ba77)] -> xpath: //input[@id='login-button']]
2022-05-19 17:05:105 INFO  PurchasePage :54 - Click on Price tab [[ChromeDriver: chrome on WINDOWS (acb537962ab1b838fb252a11d670ba77)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 17:05:205 INFO  PurchasePage :58 - Select filterby Price (high to low)Filter Field [[ChromeDriver: chrome on WINDOWS (acb537962ab1b838fb252a11d670ba77)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 17:05:802 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 17:05:511 INFO  PurchasePage :44 - Enter user name standard_useruser name field [[ChromeDriver: chrome on WINDOWS (b657912e0ac7b046e07f22db98a91430)] -> xpath: //input[@id='user-name']]
2022-05-19 17:05:600 INFO  PurchasePage :48 - Enter password secret_saucepassword field [[ChromeDriver: chrome on WINDOWS (b657912e0ac7b046e07f22db98a91430)] -> xpath: //input[@id='password']]
2022-05-19 17:05:728 INFO  PurchasePage :52 - Click on login button [[ChromeDriver: chrome on WINDOWS (b657912e0ac7b046e07f22db98a91430)] -> xpath: //input[@id='login-button']]
2022-05-19 17:05:873 INFO  PurchasePage :56 - Click on Price tab [[ChromeDriver: chrome on WINDOWS (b657912e0ac7b046e07f22db98a91430)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 17:05:972 INFO  PurchasePage :60 - Select filterby Price (high to low)Filter Field [[ChromeDriver: chrome on WINDOWS (b657912e0ac7b046e07f22db98a91430)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 17:05:627 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 17:05:339 INFO  PurchasePage :46 - Enter user name standard_useruser name field [[ChromeDriver: chrome on WINDOWS (7c0c7e05dd53e908df2dae222cd4af29)] -> xpath: //input[@id='user-name']]
2022-05-19 17:05:431 INFO  PurchasePage :50 - Enter password secret_saucepassword field [[ChromeDriver: chrome on WINDOWS (7c0c7e05dd53e908df2dae222cd4af29)] -> xpath: //input[@id='password']]
2022-05-19 17:05:581 INFO  PurchasePage :54 - Click on login button [[ChromeDriver: chrome on WINDOWS (7c0c7e05dd53e908df2dae222cd4af29)] -> xpath: //input[@id='login-button']]
2022-05-19 17:05:726 INFO  PurchasePage :58 - Click on Price tab [[ChromeDriver: chrome on WINDOWS (7c0c7e05dd53e908df2dae222cd4af29)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 17:05:829 INFO  PurchasePage :62 - Select filterby Price (high to low)Filter Field [[ChromeDriver: chrome on WINDOWS (7c0c7e05dd53e908df2dae222cd4af29)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 17:05:629 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 17:05:359 INFO  PurchasePage :46 - Enter user name standard_useruser name field [[ChromeDriver: chrome on WINDOWS (3ff405049a3418ee9e675dcf9bb76e00)] -> xpath: //input[@id='user-name']]
2022-05-19 17:05:454 INFO  PurchasePage :50 - Enter password secret_saucepassword field [[ChromeDriver: chrome on WINDOWS (3ff405049a3418ee9e675dcf9bb76e00)] -> xpath: //input[@id='password']]
2022-05-19 17:05:603 INFO  PurchasePage :54 - Click on login button [[ChromeDriver: chrome on WINDOWS (3ff405049a3418ee9e675dcf9bb76e00)] -> xpath: //input[@id='login-button']]
2022-05-19 17:05:742 INFO  PurchasePage :58 - Click on Price tab [[ChromeDriver: chrome on WINDOWS (3ff405049a3418ee9e675dcf9bb76e00)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 17:05:823 INFO  PurchasePage :62 - Select filterby Price (high to low)Filter Field [[ChromeDriver: chrome on WINDOWS (3ff405049a3418ee9e675dcf9bb76e00)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 17:05:304 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 17:05:50 INFO  PurchasePage :46 - Enter user name standard_useruser name field [[ChromeDriver: chrome on WINDOWS (4602fe57d865e3b9896c5521fa84ba4c)] -> xpath: //input[@id='user-name']]
2022-05-19 17:05:154 INFO  PurchasePage :50 - Enter password secret_saucepassword field [[ChromeDriver: chrome on WINDOWS (4602fe57d865e3b9896c5521fa84ba4c)] -> xpath: //input[@id='password']]
2022-05-19 17:05:321 INFO  PurchasePage :54 - Click on login button [[ChromeDriver: chrome on WINDOWS (4602fe57d865e3b9896c5521fa84ba4c)] -> xpath: //input[@id='login-button']]
2022-05-19 17:05:432 INFO  PurchasePage :58 - Click on Price tab [[ChromeDriver: chrome on WINDOWS (4602fe57d865e3b9896c5521fa84ba4c)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 17:05:537 INFO  PurchasePage :62 - Select filterby Price (high to low)Filter Field [[ChromeDriver: chrome on WINDOWS (4602fe57d865e3b9896c5521fa84ba4c)] -> xpath: //select[@class='product_sort_container']]
2022-05-19 18:05:652 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 18:05:380 INFO  PurchasePage :67 - Enter user name standard_useruser name field [[ChromeDriver: chrome on WINDOWS (fb8630c0fc59c04e8e3c7795f2bf55e9)] -> xpath: //input[@id='user-name']]
2022-05-19 18:05:460 INFO  PurchasePage :71 - Enter password secret_saucepassword field [[ChromeDriver: chrome on WINDOWS (fb8630c0fc59c04e8e3c7795f2bf55e9)] -> xpath: //input[@id='password']]
2022-05-19 18:05:579 INFO  PurchasePage :75 - Click on login button [[ChromeDriver: chrome on WINDOWS (fb8630c0fc59c04e8e3c7795f2bf55e9)] -> xpath: //input[@id='login-button']]
2022-05-19 18:05:705 INFO  PurchasePage :79 - Click on Price tab [[ChromeDriver: chrome on WINDOWS (fb8630c0fc59c04e8e3c7795f2bf55e9)] -> xpath: //select[@class='product_sort_container']]
